site,rep,position,degree.days,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09
D5A,R1,m30,2684.27,253.42000000000002,118.62,40.2,31.02,7.97,9.19,86.36,266.97,411.01000000000005,506.43,517.37,435.71000000000004
D5A,R1,m50,2586.51,270.66,134.1,55.65,31.93,20,16.26,74.54,234.52,370.97,465.04,489.5,423.34000000000003
D5A,R2,lsurf,3003.88,174.91,54.11,0.04,0.16,NA,29.61,128.35999999999999,377.6,538.28,631.9399999999999,606.13,462.74
D5A,R2,m0surf,2876.44,182.84,55.26,NA,0.08,NA,15.22,108.82000000000001,351.39,512.48,608.43,589.64,452.28
D5A,R2,m10,2622.32,211.02,76.56,2.8200000000000003,0.15000000000000002,NA,NA,64.94,299.34,452.7,542.74,538.88,433.17
D5A,R2,m30,2683.04,257.44,116.86,40.12,25.75,2.5100000000000002,0.28,68.63,276.79,420.85,510.69,524.23,438.89000000000004
D5A,R3,lsurf,3115.42,171.02,59.330000000000005,0.02,0.62,0.12000000000000001,41.769999999999996,164.53,401.17,552.53,646.74,613.54,464.03
D5A,R3,m0surf,2997.92,189.62,60.4,0.45,1.21,0.1,30.79,151.04,369.01,519.97,617.8299999999999,595.87,461.63
D5A,R3,m10,2789.69,234.01,98.31,20.66,15.409999999999998,1.9100000000000001,2.0300000000000002,108.59,311.92,458.37,547.18,546.37,444.93
D5A,R3,m30,2768.66,269.41,128.29,47.120000000000005,34.1,19.05,18.599999999999998,100.37,277.62,414.4,502.56,518.59,438.55
